epoch,seed0,seed1,seed2
1,13.35168362,12.95373392,14.00256181
2,12.27292633,12.70531392,12.77332497
3,12.29351759,12.41978049,12.25927997
4,12.24757338,11.94510102,12.48003721
5,12.38622546,11.8028326,12.64203596
6,12.80041623,11.81424093,12.7957015
7,12.36689425,12.19371009,12.80852604
8,12.29134679,12.57783341,12.88947201
9,11.77416468,12.54782271,12.51049924
10,11.82481718,12.49048543,12.57248259
11,13.21046305,12.45055866,12.71478224
12,12.14993787,12.09801793,12.3523345
13,12.04210091,11.91826177,11.88502789
14,12.4902606,12.02676797,11.90950251
15,12.57066751,12.08435726,12.07932782
16,12.25465846,12.0227952,12.35180116
17,11.97120333,11.96166325,12.74917269
18,12.41873288,11.8220737,12.71021271
19,11.8839817,12.67539096,12.39905334
20,11.80266595,12.78547001,12.65841031
21,12.58290315,12.45590949,12.31157613
22,12.44189572,12.32688141,12.568506
23,12.05485177,12.5065937,12.23099947
24,11.93076777,12.32068419,12.41219354
25,12.19280338,12.00702977,12.61605716
26,11.77808881,12.25887537,12.34298587
27,11.59593368,12.32704711,12.32495356
28,11.64841819,12.72005725,12.61064816
29,11.98237181,12.6123836,12.28192925
30,11.72196579,12.48254776,12.56200838
31,12.64140391,12.77710938,12.2454803
32,12.35223079,12.28500986,12.51417851
33,11.74723792,11.93225741,12.48147583
34,11.67862582,11.96025681,12.38295674
35,11.80947971,12.57043505,12.36147881
36,11.69788241,11.84569216,12.28035116
37,11.62730312,12.625772,12.18318272
38,12.15693378,11.90512419,12.31365204
39,11.77158356,12.60876465,12.39183092
40,11.67296743,12.22276378,12.34722185
