epoch,seed0,seed1,seed2
1,1.382880688,1.431946516,1.379008532
2,1.01915288,1.103077173,0.985140324
3,0.995160103,1.068264961,1.022334814
4,1.007011414,1.093308926,1.073997021
5,1.036370516,1.051366568,1.071279526
6,0.992862463,1.059816122,1.076719046
7,0.984516621,1.096970081,1.069251299
8,0.992842197,1.023344994,1.069297075
9,0.98652339,0.990911007,1.013824463
10,0.975338221,1.065240622,1.038928986
11,0.963645697,1.077876091,1.051495075
12,0.970882893,1.084874392,1.073711395
13,0.961817741,1.056391954,1.071692228
14,0.987567425,1.067169428,0.997401714
15,0.978298187,1.055312634,1.078931808
16,0.983169079,1.065130234,1.079328299
17,0.99709487,1.074320793,1.045059919
18,1.013937235,1.03659749,0.976711512
19,1.010724068,0.967497587,0.962517738
20,1.00941968,0.954493284,1.005513191
21,0.998566389,0.966899157,1.008569479
22,0.998716831,0.96245718,1.073086023
23,0.993287086,0.962846756,1.061449766
24,1.021258354,0.963258505,1.082975864
25,1.008863211,0.96782279,1.048651934
26,0.992202997,0.941497803,1.091279507
27,0.998674393,0.967154026,0.974538803
28,0.998841286,1.030359745,1.062695503
29,0.996840477,1.126874208,1.044390202
30,0.955798388,1.021374941,1.030596018
31,0.955246449,1.042288065,1.028126717
32,0.997086287,1.07271719,0.958568573
33,1.007816553,1.069462538,0.975176573
34,0.99566102,1.054071426,0.956559896
35,0.986607313,1.009213209,0.957321405
36,0.96983242,1.030914307,0.956552267
37,0.9742136,1.037439346,0.952244043
38,0.982523918,0.954914093,0.937908411
39,1.001559019,0.96476841,0.953754425
40,0.999153852,0.964446783,1.017887831
